(1, 8471112222, 2, 1, 1, 1, 1),
(2, 8471112223, 3, 1, 0, 0, 2),
(3, 8471112224, 4, 1, 1, 1, 1),
(4, 8471112225, 5, 1, 0, 0, 2),
(5, 8471112226, 6, 1, 1, 1, 1),
(6, 8471112227, 7, 1, 0, 0, 2),
(7, 8471112228, 8, 1, 1, 1, 1),
(8, 8471112229, 9, 1, 0, 0, 2),
(9, 8471112230, 10, 1, 1, 1, 1),
(10, 8471112231, 11, 1, 0, 0, 2),
(11, 8471112232, 12, 1, 1, 1, 1),
(12, 8471112233, 13, 1, 0, 0, 2),
(13, 8471112234, 14, 1, 1, 1, 1),
(14, 8471112235, 15, 1, 0, 0, 2),
(15, 8471112236, 16, 1, 1, 1, 1),
(16, 8471112237, 17, 1, 0, 0, 2),
(17, 8471112238, 18, 1, 1, 1, 1),
(18, 8471112239, 19, 1, 0, 0, 2),
(19, 8471112240, 20, 1, 1, 1, 1),
(20, 8471112241, 21, 1, 0, 0, 2),
(21, 8471112242, 22, 1, 1, 1, 1),
(22, 8471112243, 23, 1, 0, 0, 2),
(23, 8471112244, 24, 1, 1, 1, 1),
(24, 8471112245, 25, 1, 0, 0, 2),
(25, 8471112246, 26, 1, 1, 1, 1),
(26, 8471112247, 27, 1, 0, 0, 2),
(27, 8471112248, 28, 1, 1, 1, 1),
(28, 8471112249, 29, 1, 0, 0, 2),
(29, 8471112250, 30, 1, 1, 1, 1),
(30, 8471112251, 31, 1, 0, 0, 2),
(31, 8471112252, 32, 1, 1, 1, 1),
(32, 8471112253, 33, 1, 0, 0, 2),
(33, 8471112254, 34, 1, 1, 1, 1),
(34, 8471112255, 35, 1, 0, 0, 2),
(35, 8471112256, 36, 1, 1, 1, 1),
(36, 8471112257, 37, 1, 0, 0, 2),
(37, 8471112258, 38, 1, 1, 1, 1),
(38, 8471112259, 39, 1, 0, 0, 2),
(39, 8471112260, 40, 1, 1, 1, 1),
(40, 8471112261, 41, 1, 0, 0, 2),
(41, 8471112262, 42, 1, 1, 1, 1),
(42, 8471112263, 43, 1, 0, 0, 2),
(43, 8471112264, 44, 1, 1, 1, 1),
(44, 8471112265, 45, 1, 0, 0, 2),
(45, 8471112266, 46, 1, 1, 1, 1),
(46, 8471112267, 47, 1, 0, 0, 2),
(47, 8471112268, 48, 1, 1, 1, 1),
(48, 8471112269, 49, 1, 0, 0, 2),
(49, 8471112270, 50, 1, 1, 1, 1),
(50, 8471112271, 51, 1, 0, 0, 2),
(51, 8471112272, 52, 1, 1, 1, 1),
(52, 8471112273, 53, 1, 0, 0, 2),
(53, 8471112274, 54, 1, 1, 1, 1),
(54, 8471112275, 55, 1, 0, 0, 2),
(55, 8471112276, 56, 1, 1, 1, 1),
(56, 8471112277, 57, 1, 0, 0, 2),
(57, 8471112278, 58, 1, 1, 1, 1),
(58, 8471112279, 59, 1, 0, 0, 2),
(59, 8471112280, 60, 1, 1, 1, 1),
(60, 8471112281, 61, 1, 0, 0, 2),
(61, 8471112282, 62, 1, 1, 1, 1),
(62, 8471112283, 63, 1, 0, 0, 2),
(63, 8471112284, 64, 1, 1, 1, 1),
(64, 8471112285, 65, 1, 0, 0, 2),
(65, 8471112286, 66, 1, 1, 1, 1),
(66, 8471112287, 67, 1, 0, 0, 2),
(67, 8471112288, 68, 1, 1, 1, 1),
(68, 8471112289, 69, 1, 0, 0, 2),
(69, 8471112290, 70, 1, 1, 1, 1),
